,ids,mols,X,y
184,,CO/N=C(/C(=O)OC)c1ccccc1COc1cccc(C(F)(F)F)c1,,4.42
185,,Cc1c2c(c[n+]3ccccc13)ccc1ccccc12,,5.84
186,,COc1ccc(OC)c2c1C[C@@H]1C(C#N)N3[C@@H](C)c4c(OC)ccc(OC)c4C[C@@H]3C(=O)N1[C@H]2C,,5.02
187,,Cc1cc(-c2nc3cc(F)ccc3s2)ccc1NC(=O)[C@@H](N)CCCCN,,5.775
188,,O=C1C(=C2CCCC2)CCC1CN1CCCCC1,,4.0
189,,COc1ccc2CCc3c(-c2c1)n(CCN1CCOCC1)c1ccccc31,,4.57
190,,C=CC1C(CC2OC(CO)C(O)C(O)C2O)OC=C2C(=O)OCCC21O,,4.73
191,,OCCN(CCO)c1ccc2c(C(F)(F)F)cc(C(F)(F)F)nc2n1,,4.109999999999999
192,,CCc1cccc(NC(=O)Nc2ccc(Oc3ccc4nc(NC(=O)OC)[nH]c4c3)cc2)c1,,5.27
193,,Cc1c(-c2ccc(-c3ccccc3F)cc2)nc2ccc(F)cc2c1C(=O)O,,6.462352941176469
194,,CC1(C)CCC2(C(=O)OC3OC(CO)C(O)C(O)C3O)CC[C@]3(C)C(=CCC4C5(C)CC[C@H](OC6OC(C(=O)O)C(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1,,5.74
195,,COc1ccc2O/C(=C\c3cccc(OCC(=O)Nc4nc(C)c(C)s4)c3)C(=O)c2c1,,6.725
196,,O=C1NC(c2c(Cl)cccc2Cl)Nc2ccccc12,,4.26
197,,COc1cc(C(=O)Oc2c(C(C)=O)sc3c2c(=O)n(-c2ccccc2)c(=S)n3-c2ccccc2)cc(OC)c1OC,,4.54
198,,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1OCC(=O)Nc1nc2ccc(OC(F)(F)F)cc2s1,,5.22
199,,CC(C)OC(=O)c1ccc(NCC2=CC(=O)C=CC2=O)cc1,,4.355
200,,Cc1ccc(NCSc2ccc(Cl)cc2)cc1,,5.01
201,,CCC[C@H]1O[C@@H]2CC(=O)O[C@@H]2C2=C1C(=O)C=CC2=O,,4.49
202,,O=C(Nc1ccc(/C=C/c2ccc(NC(=O)c3cc(S(=O)(=O)O)c4cccnc4c3O)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1)c1cc(S(=O)(=O)O)c2cccnc2c1O,,5.023333333333333
203,,CC1(c2cccs2)CC(c2cccs2)=C(C#N)C(=C(C#N)C#N)N1,,4.66
204,,Cc1ccc(NC(=O)CCC(=O)C2CC(=O)CC/C2=N\NC(=O)c2cc3ccccc3cc2O)cc1C,,4.6
205,,O=[N+]([O-])c1cccc(Oc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c1,,5.46
206,,COc1ccc2oc(=N)c(C(=O)Nc3cccc4ccccc34)cc2c1,,4.6
207,,COc1cc(OC)cc(C(=O)Cc2c(C(=O)c3ccccc3)c3ccccc3n2C(=O)c2ccccc2)c1,,4.6
208,,CCCN1C/C(=C\c2ccc(O)c(OC)c2)C(=O)/C(=C/c2ccc(O)c(OC)c2)C1,,4.0
209,,CCc1cc2c(Nc3ccccc3)c3c(CCCC3)nc2s1,,5.07
210,,*=O.COc1ccc2c(c1)CC[C@H]1[C@H]2CC[C@@]2(C)c3nonc3C[C@H]12,,4.79
211,,CC(=O)NC(Cc1ccc(OP(=O)(OCc2ccc([N+](=O)[O-])o2)N(C)CCCCCl)cc1)C(=O)NC(C)c1ccc(OCC2CCCCC2)c(C(N)=O)c1,,5.39
