DeepBio_id,smiles,sweet
531,COCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1OC,1
517,CCOc1ccc(CCC(=O)c2ccccc2O)cc1O,1
529,COCC1OC(CO)(OC2OC(COC)C(O)C(O)C2O)C(O)C1O,1
479,Oc1ccc(cc1OC(=O)Oc1ccc(cc1)[N+]([O-])=O)C1OCc2ccccc2S1,1
424,OCC1OC(CCl)(OC2OC(CO)C(O)C(O)C2O)C(O)C1Cl,1
480,[O-][N+](=O)c1ccc(cc1)C(=O)COc1cccc(c1)C1OCc2ccccc2S1,1
1647,COc1ccc2ccc(=O)oc2c1C[C@@H]1OC1(C)C,0
439,COc1ccc(cc1O)C1CCc2ccccc2O1,1
452,COc1ccc(cc1O)C1CSc2cc(O)ccc2O1,1
415,CC12CCCC(C)(C1CCC13CC(=C)C(C1)(CCC23)OC1OC(CO)C(O)C(OC2OC(CO)C(O)C(O)C2O)C1OC1OC(CO)C(O)C(O)C1O)C(=O)OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O,1
478,Oc1ccc(cc1O)C1OCc2ccccc2S1,1
421,CC1CCC(=O)C1=O,1
449,COc1ccc(cc1O)C1Oc2ccccc2S1,1
448,COc1ccc(cc1O)C1Sc2ccccc2S1,1
483,COc1ccc(CCC(=O)c2cccc(c2)C(O)=O)cc1O,1
457,COc1cc2CC3(O)COc4ccccc4C3c2cc1O,1
451,COc1ccc(cc1O)C1CSc2ccccc2S1,1
482,COc1ccc(CCC(=O)c2c(O)cc(O)cc2O)cc1O,1
475,COc1ccc(cc1O)C1OCc2ccccc2S1,1
492,COc1ccc(COc2ccccc2)cc1O,1
440,COc1ccc(cc1O)C1Cc2ccccc2CO1,1
473,COc1cc2CCC3C4CCCC4(C)CCC3c2cc1O,1
464,Cc1ccc(cc1)C(=O)c1ccccc1C(O)=O,1
411,OCC1OC(CO)(OC2OC(CO)C(Cl)C(O)C2O)C(O)C1O,1
432,OC(=O)CN=C(NCc1cccc2OCOc12)Nc1ccc(cc1)C#N,1
425,OCC1OC(OC2(CCl)OC(CCl)C(Cl)C2O)C(O)C(O)C1O,1
525,COCC(=O)CO,1
416,CC1OC(OC2C(O)C(O)C(CO)OC2OC23CC4(CC2=C)CCC2C(C)(CCCC2(C)C(=O)OC2OC(CO)C(O)C(O)C2O)C4CC3)C(O)C(O)C1O,1
442,COc1ccc(cc1O)C1COc2ccccc2O1,1
487,COc1ccc(cc1O)C1Oc2cc(O)cc(O)c2C(=O)C1O,1
516,COc1ccc(CCC(=O)c2ccccc2O)cc1O,1
535,CSCC1OC(O)(CSC)C(O)C1O,1
508,CCOc1ccc(CCc2ccccc2)cc1O,1
438,COc1ccc(cc1O)C1Oc2cc(O)cc(O)c2C(=O)C1OC(C)=O,1
450,COc1ccc(cc1O)C1CSc2ccccc2O1,1
532,COCC1OC(COC)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,1
445,COc1ccc(cc1O)C1Oc2ccccc2O1,1
413,OCC1OC(CCl)(OC2OC(CO)C(Cl)C(O)C2O)C(O)C1O,1
443,COc1ccc(CCc2ccccc2)cc1O,1
436,CC(COCNC1C(C)(C)SC1(C)C)NCOCC(N)CC(O)=O,1
513,COc1ccc(cc1O)C1CC(=O)c2c(O)cccc2O1,1
538,COC(=O)C(NC(=O)C(N)CC(O)=O)C(=O)OC1CCCC1,1
468,OC(=O)c1ccccc1C(=O)c1ccc(Cl)cc1,1
465,CCOc1ccc(cc1)C(=O)c1ccccc1C(O)=O,1
456,Oc1ccc2C3c4cc(O)c(O)cc4CC3(O)COc2c1O,1
534,OC1C(O)C(O)(CCl)OC1CCl,1
491,COc1ccc(CNc2ccccc2)cc1O,1
503,COc1ccc(CCc2cccc(C)c2)cc1O,1
497,COc1ccc(CC(=O)c2ccccc2O)cc1O,1
509,COc1ccc(cc1O)C1OC(=O)c2ccccc2O1,1
486,COc1ccc(cc1)C(=O)C=CC(O)=O,1
470,COc1ccc(cc1O)C(=O)c1ccccc1C(O)=O,1
528,COCC1OC(CO)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,1
514,CCOc1ccc(cc1O)C1CC(=O)c2c(O)cccc2O1,1
420,O=C(OCc1ccccc1)C=Cc1ccccc1,1
455,COc1ccc(cc1O)C1CS(=O)(=O)c2ccccc2O1,1
540,COC(=O)C(NC(=O)C(N)CC(O)=O)C(=O)OC1C(C)(C)C2CCC1(C)C2,1
472,COc1ccc(OC(=O)c2ccccc2C(O)=O)cc1,1
433,CCC(=O)OCC=Cc1ccccc1,1
498,COc1ccc(CCC2CCCCC2)cc1O,1
466,OC(=O)c1ccccc1C(=O)c1ccc(O)cc1,1
410,CCCC=CC(O)=O,1
495,COc1ccc(cc1O)C(=O)Oc1ccccc1,1
524,OC1C(O)C(O)C(O)C(O)C1O,1
485,COc1ccc(OCc2ccccc2C(O)=O)cc1O,1
426,COc1cc(C=CC)ccc1OC(=O)Cc1ccccc1,1
429,Fc1ccc2C(=O)NS(=O)(=O)c2c1,1
441,COc1ccc(cc1O)C1OCc2ccccc2O1,1
447,COc1ccc(cc1O)C1Oc2ccccc2CS1,1
446,COc1ccc(cc1O)C1SCc2ccccc2S1,1
510,COc1ccc(cc1O)C1OC(=O)c2ccccc2S1,1
458,COc1ccc2C3CCC4(C)CCCC4C3CCc2c1O,1
484,COc1ccc(cc1O)C1Cc2cc(O)cc(O)c2C(=O)C1OC(C)=O,1
526,OCC1OC(CO)(OC2OC(COC3OC(COC4OC(CO)C(O)C(O)C4O)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C1O,1
477,COc1ccc(cc1O)C1OC2CC3CCC2(CS1)C3(C)C,1
453,COc1ccc(cc1O)C1CCc2ccccc2S1,1
507,COc1ccc(CCc2ccc3OCOc3c2)cc1O,1
490,COc1ccc(CCCc2ccccc2)cc1O,1
496,COc1ccc(COC(=O)c2ccccc2O)cc1O,1
494,COc1ccc(NCc2ccccc2)cc1O,1
481,COc1ccc(cc1OC(=O)Nc1ccc(cc1)[N+]([O-])=O)C1OCc2ccccc2O1,1
533,OCC1(O)OC(CCl)C(O)C1O,1
502,COc1ccc(CCc2ccccc2CO)cc1O,1
499,COc1ccc(CCc2ccccc2C)cc1O,1
501,COc1ccc(CCc2ccccc2OC)cc1O,1
522,OCC1OCC(O)C(O)C1O,1
500,COc1ccc(CCc2ccccc2O)cc1O,1
444,COc1ccc(cc1O)C1COc2ccccc2C1,1
